Feature_Set,Motif,N_Features,N_Graphs,Mean_Impact,Std_Impact,SE_Impact
Cascade,Single Input Module,40,98,2.1150141520240363e-08,3.2103017705742525e-07,3.242894502326049e-08
Cascade,Feedback Loop,40,99,2.0850268269018113e-05,0.0016240238704391269,0.00016322054026749497
Cascade,Cascade,40,98,-6.182598349833102e-08,7.301963053162903e-07,7.376096558378736e-08
Cascade,Feedforward Loop,40,98,-8.720954588866608e-09,1.237522344941778e-06,1.2500863456831557e-07
Feedback Loop,Single Input Module,41,98,2.7510829605322513e-08,4.155020393341325e-07,4.197204423000067e-08
Feedback Loop,Feedback Loop,41,99,0.0005993891555599362,0.0019735676638447113,0.00019835101331367158
Feedback Loop,Cascade,41,98,-7.993709487538804e-08,9.452880067409068e-07,9.548850853440143e-08
Feedback Loop,Feedforward Loop,41,98,-1.1096296996894886e-08,1.6020375993200302e-06,1.6183023574214435e-07
Feedforward Loop,Single Input Module,41,98,2.7510829605322513e-08,4.155020393341325e-07,4.197204423000067e-08
Feedforward Loop,Feedback Loop,41,99,0.0005993891555599362,0.0019735676638447113,0.00019835101331367158
Feedforward Loop,Cascade,41,98,-7.993709487538804e-08,9.452880067409068e-07,9.548850853440143e-08
Feedforward Loop,Feedforward Loop,41,98,-1.1096296996894886e-08,1.6020375993200302e-06,1.6183023574214435e-07
Single Input Module,Single Input Module,41,98,2.7510829605322513e-08,4.155020393341325e-07,4.197204423000067e-08
Single Input Module,Feedback Loop,41,99,0.0005993891555599362,0.0019735676638447113,0.00019835101331367158
Single Input Module,Cascade,41,98,-7.993709487538804e-08,9.452880067409068e-07,9.548850853440143e-08
Single Input Module,Feedforward Loop,41,98,-1.1096296996894886e-08,1.6020375993200302e-06,1.6183023574214435e-07
