feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z10,0.01666890715345714,0.018788791891175296,-0.014502326514616568,-0.01446073673436066
z100,-0.014716050313265954,0.07352906305287536,-0.02542485941664173,-0.025351945990295312
z101,-0.06690579964684913,0.2655017428840253,-0.08640971796351432,-0.0861619121250197
z105,-0.02189863090292595,0.0771909594569668,-0.024163653436857502,-0.024094356897739734
z108,-0.0088075080529032,0.08732388160844523,-0.03359208255952227,-0.03349574716598521
z109,-0.060608285101337464,0.2216832809446812,-0.0702893798170575,-0.07008780389350007
z110,-0.036928185770221965,0.1939697495681363,-0.06781252012995824,-0.06761804734602518
z111,-0.034915485291348136,0.12742563711196359,-0.04037271689556006,-0.04025693599500402
z112,-0.053285605219418414,0.2261310658648626,-0.07504567369547595,-0.07483045766961932
z113,-0.042787137189431106,0.21504000641603005,-0.07445475683175412,-0.07424123543761654
z115,-0.04306815852247861,0.20638268375784186,-0.07067213279324373,-0.07046945921048273
z116,-0.036089548980809655,0.13423069973460966,-0.04279939980117662,-0.04267665965799881
z118,0.04003003795429277,-0.011555676594290935,-0.010784410585386029,-0.01075348304655399
z120,0.08922760214184985,-0.02575779005787092,-0.02403862564771777,-0.023969687663365057
z123,-0.03445797326360812,0.1276420380744439,-0.04064379926953178,-0.04052724095878893
z128,-0.0197933109282021,0.06856604035530867,-0.021329901524217626,-0.021268731620452293
z129,-0.05241167954850204,0.19595018318635365,-0.06258517841629803,-0.0624056966059149
z13,-0.04761794483945766,0.17663243062133893,-0.05626894486294004,-0.056107576750746284
z130,-0.013137031800041688,0.06913188790496816,-0.024178308537545764,-0.024108969970521872
z132,-0.051495542701669346,0.2000025393492729,-0.0646632213254175,-0.06447778010239358
z134,-0.01937851298587806,0.06712913813334814,-0.02088290206595045,-0.02082301406748669
z135,-0.01347383093953236,0.08353367975895587,-0.030155676650961166,-0.03006919618425001
z136,-0.031198868301280522,0.13824247374772036,-0.046417716502221,-0.04628459974834275
z137,-0.037910950601187446,0.13132738520898102,-0.04085404639709049,-0.04073688513951525
z138,-0.025578053462580866,0.08860497631180628,-0.027563724104423006,-0.027484676840704193
z14,-0.03229998536781925,0.14628106252584513,-0.04939625577821809,-0.04925459716770411
z140,-0.04199752451391293,0.16690121926534324,-0.05434334417920153,-0.05418749830574762
z141,-0.021223060585870257,0.0735188384536796,-0.02287064523874663,-0.022805056789277398
z142,0.04953091768644153,-0.014298344329738106,-0.013344023146104987,-0.013305755148910409
z144,0.044238267440685326,-0.01277048780768117,-0.011918141077238292,-0.011883962225454636
z145,-0.06613293840437558,0.2722943783063077,-0.0895940630637688,-0.0893371251585782
z147,0.03162673019007226,-0.009129850594412951,-0.00852049264186087,-0.008496057568199435
z148,0.046624260777895395,-0.013459264755442615,-0.012560946658183527,-0.012524924368187968
z15,-0.05440628533323463,0.20073589538158632,-0.06383369506044656,-0.06365063275331875
z151,-0.06321460190151214,0.23673279573137573,-0.07565216979864414,-0.07543521446291668
z152,-0.03395542095621963,0.13110587457426703,-0.04231011795083081,-0.04218878097042268
z153,-0.03023725636967985,0.13878864090261722,-0.047026227842196296,-0.04689136599914995
z154,-0.028297885046142113,0.16285641700210035,-0.05799593315144423,-0.05782961238125099
z156,-0.06197299928459925,0.2547564595135745,-0.08378448535147139,-0.08354420815656
z158,-0.01424129748099047,0.06838781946399275,-0.023429944815149154,-0.023362752406035494
z16,-0.015700542976881754,0.0543882762847558,-0.016919404580083244,-0.01687088310197163
z160,0.0019256574257862384,0.028454522929988346,-0.012825222253899074,-0.012788442074199274
z162,-0.04942700252425042,0.19239848785068325,-0.06224811636200085,-0.06206960117836943
z164,0.040538209161736415,-0.011702372985996932,-0.01092131595017736,-0.010889995794062038
z165,-0.051049133811547735,0.20833106152938924,-0.0683711755105655,-0.06817510061441306
z167,0.050574699576365054,-0.01459965820729941,-0.013625226288489677,-0.013586151856762877
z168,-0.03441059868113342,0.13735854062162883,-0.04478417712888196,-0.044655745040150914
z169,-0.04417863266876445,0.18235951206295237,-0.06004616572282112,-0.05987396529448953
z17,-0.025969197828360192,0.08995994014105443,-0.027985233716134206,-0.027904977646910342
z172,-0.026496808230904906,0.15278625704717375,-0.0544298766284782,-0.054273782597216894
z173,-0.037121048498979334,0.15991575598577318,-0.05329098388844698,-0.05313815597443556
z176,0.031626730190072276,-0.009129850594412953,-0.008520492641860873,-0.008496057568199432
z178,-0.046036679241832086,0.17380235101643765,-0.05568804824062608,-0.055528346024097314
z179,-0.03500090397661158,0.23590309466076187,-0.08635619652586578,-0.0861085441761806
z18,-0.07194948473761692,0.266337403702572,-0.08478776228548941,-0.08454460789241394
z180,-0.02809233915627378,0.09731471744424561,-0.030273198352806893,-0.030186380857292118
z181,-0.007906682547518067,0.027389551783238836,-0.008520492641860876,-0.00849605756819943
z182,-0.015637492873355904,0.0541698643192973,-0.016851459782763763,-0.016803133156780697
z184,-0.015733627698937193,0.054502885123864434,-0.016955057729066678,-0.016906434004834076
z186,0.031626730190072276,-0.009129850594412953,-0.008520492641860873,-0.008496057568199432
z19,-0.03933044205226479,0.16958244400793668,-0.056525879093642026,-0.05636377414531479
z190,-0.014158143675335872,0.1641679745256887,-0.0640931912017456,-0.06390938471143573
z191,-0.05966636273182737,0.25794719612481753,-0.08604191249033857,-0.08579516144458986
z192,-0.0731554701783386,0.2794639620301784,-0.08988356210033979,-0.0896257939696469
z195,-0.03226206616092711,0.13467115414017944,-0.044486104685649085,-0.04435852740924087
z196,-0.06241180731842551,0.24707124006610534,-0.08035240353568421,-0.08012196886696296
z197,0.031626730190072276,-0.009129850594412948,-0.008520492641860876,-0.008496057568199432
z198,0.023853425947909408,0.03136875034939997,-0.02265420884415259,-0.022589241091099298
z199,-0.007906682547518067,0.02738955178323883,-0.008520492641860873,-0.008496057568199432
z20,-0.044747232142967615,0.1754859538921677,-0.05690753585007374,-0.05674433638628259
z200,-0.04399316623043113,0.17871581657091404,-0.05857316073792712,-0.05840518459413193
z202,-0.04117764678631542,0.21570055650845568,-0.07536567189167569,-0.07514953817480932
z204,-0.047308640340494486,0.1821859873204556,-0.05874601128203965,-0.058577539437355386
z205,-0.05802439070444936,0.23587275783347073,-0.07732120315229925,-0.07709946136176757
z206,-0.027294302716615964,0.1628297751339799,-0.05837790137792934,-0.05821048519903815
z208,-0.048155634961465604,0.2000677822362596,-0.06599969451379348,-0.06581042055219713
z209,-0.03896332783430763,0.15085698823147986,-0.048726259719176955,-0.04858652252374349
z210,-0.026833519355184764,0.09740942223625174,-0.03080666166001503,-0.030718314298123356
z212,0.05091317269408471,-0.005198388845832798,-0.017745951514245926,-0.01769505966436477
z213,0.06946059113232114,-0.02005154549415807,-0.01871323567391829,-0.018659569845971925
z215,-0.044144607708274816,0.2065794089921019,-0.07033376115648249,-0.07013205795609453
z216,-0.06512472270963171,0.2626346238574024,-0.0858914082333668,-0.08564508880381214
z218,-0.02278342953743893,0.07892411505901942,-0.024552148459664788,-0.024481737794298884
z22,0.05443974316722683,-0.015715400186106253,-0.014666499770714754,-0.014624439174301306
z220,-0.05840434016985892,0.23327447274667967,-0.07607010178117303,-0.07585194789986754
z221,-0.02995106674060051,0.11722525822703957,-0.03799102695596003,-0.03788207626717213
z226,-0.02220167860426797,0.07690887071181404,-0.023925235147325617,-0.02385662234431466
z227,-0.044669357405658,0.1794728274903945,-0.058629314048415704,-0.05846117686812463
z228,0.05752198350903845,-0.01660516633163229,-0.015496879831980045,-0.015452437871152948
z230,-0.038868778421939275,0.1494515206951525,-0.048167100543884414,-0.04802896690545301
z231,-0.037508209801047965,0.1299322501527361,-0.04042004009880518,-0.04030412348473987
z232,-0.03015969734950213,0.169116317838112,-0.05992184895579593,-0.05975000504315975
z233,-0.06867430689415208,0.26891972897181815,-0.08716663527437221,-0.08691665874798149
z237,-0.024829599578516798,0.08601225600316377,-0.026757166389020367,-0.026680432171978144
z238,-0.026801952490918032,0.12250486796699403,-0.04146470822736638,-0.04134579571344572
z240,-0.01116353539293586,0.038671620985316596,-0.01203018087560902,-0.011995680716027655
z241,-0.06018401567353949,0.20848354590018406,-0.06485620987338131,-0.06467021519768934
z242,-0.03591864088092137,0.13960126272175694,-0.04514460605407544,-0.04501514032706702
z243,-0.038290319035286846,0.20777917532029822,-0.07313680839459163,-0.07292706661373437
z247,-0.03112124564990472,0.10780715732093377,-0.033537244346403546,-0.03344106621792536
z251,-0.04510990389846963,0.18791509449577343,-0.06203795188406261,-0.06186003941024099
z253,-0.04927470448936803,0.223918306602701,-0.07567874067613978,-0.07546170914043468
z254,-0.04936790617984178,0.23127383092308473,-0.0787624867595062,-0.07853661165502315
z256,0.04424159548377621,-0.011684548686207205,-0.012380108756889857,-0.01234460507393083
z258,-0.023176999453359964,0.08932252791797518,-0.028809006588562967,-0.028726388103025385
z259,-0.008113192253338801,0.06469100912869227,-0.024263126881153823,-0.024193545072035735
z260,-0.04463411232328081,0.1684120376731304,-0.05395105527847541,-0.05379633441135494
z263,-0.023727548893826507,0.08219464044636444,-0.02556956151258468,-0.02549623310948491
z264,-0.03097008730460773,0.16156549567017214,-0.05640116911216418,-0.05623942180719304
z266,-0.06253719645432805,0.2864170487072328,-0.096994055353167,-0.09671589574586525
z267,-0.04377411629253618,0.15910454710233088,-0.050339751167511576,-0.050195386800381686
z269,0.031626730190072276,-0.009129850594412953,-0.008520492641860873,-0.008496057568199433
z27,-0.030083791767696738,0.11816640653106997,-0.03833825869541288,-0.03822831221524439
z272,0.060016122511147976,-0.017325162243764423,-0.016168820715135993,-0.016122451761860678
z277,-0.019019004713179265,0.06588376494523687,-0.02049548451455531,-0.02043670755236656
z281,-0.05157619045755905,0.21798976760126182,-0.07226193553796381,-0.07205470271798411
z283,-0.05004876174810259,0.2032747020907153,-0.06661824176850324,-0.06642719393673678
z29,-0.03391510866151165,0.17549719085728582,-0.06115704478485372,-0.06098165857691398
z291,-0.06229763178600829,0.28917226188489065,-0.09825671475436937,-0.0979749340917162
z292,0.05438384541747643,-0.015699263895673513,-0.014651440472374946,-0.014609423063025881
z293,-0.040209601141487035,0.16341411085321206,-0.05356471318063972,-0.05341110026560789
z294,-0.007906682547518066,0.027389551783238833,-0.008520492641860875,-0.008496057568199432
z295,-0.051963477263123406,0.21888620800173061,-0.072490447714126,-0.07228255956679708
z296,-0.031246526856502782,0.10824114415105651,-0.03367225136009949,-0.03357568605843038
z297,-0.029248794613899162,0.10132079666284056,-0.0315194315432908,-0.03142904009952106
z298,-0.03227796747546437,0.13681269472687657,-0.045388331102339176,-0.045258166420498236
z299,-0.04395737374359052,0.1645313714556999,-0.05257003843657978,-0.05241927805034672
z30,0.031626730190072276,-0.009129850594412953,-0.008520492641860873,-0.008496057568199432
z300,-0.022831994824881203,0.12792595299081777,-0.045320065096248384,-0.04519009618769866
z301,-0.0344676042611588,0.12276469381610416,-0.038571019137487714,-0.0384604051467906
z303,-0.06958311606910308,0.27804181087665614,-0.09068015941943304,-0.09042010680649376
z304,-0.04565523899882566,0.18889208344458788,-0.06223869958844458,-0.06206021141024173
z305,0.06228520319946097,-0.017980189416869675,-0.016780129098657365,-0.016732007034850886
z307,-0.019978735638536922,0.06920837039386599,-0.021529721090835098,-0.021467978144402593
z308,-0.028557784497538347,0.10528848480840183,-0.033473338106547,-0.03337734324841994
z309,-0.03491799114617166,0.1209594695268191,-0.03762873807585848,-0.03752082635932772
z31,-0.04122057129672793,0.1568549420514206,-0.050386099560238554,-0.05024160227516156
z310,-0.007906682547518066,0.027389551783238826,-0.008520492641860873,-0.008496057568199428
z311,-0.03258668893760427,0.1264840563983656,-0.04088586766049131,-0.0407686151458787
z312,-0.019977872945421277,0.06920538193725073,-0.021528791425289545,-0.02146705114495242
z314,-0.035308308346691575,0.16071151840616954,-0.0543389037228191,-0.054183070583708554
z315,-0.026174342527547644,0.09067058222484664,-0.028206304170074754,-0.028125414114876894
z316,-0.030498450744449332,0.19286595002300932,-0.06986387534721415,-0.0696635196856182
z317,0.04523981743101173,-0.013059610385942081,-0.012187966609999545,-0.012153013952399034
z319,-0.03468268035988152,0.12014432905197209,-0.03737515968680769,-0.03726797518252579
z32,-0.011182085482125077,0.038735880379237926,-0.012050171041837743,-0.012015613554446254
z320,-0.04096025174552883,0.19603827828423473,-0.0671099755258692,-0.0669175174997527
z322,0.06326552200470345,-0.018263183079918865,-0.017044234781304513,-0.016995355315070584
z324,0.00400948154831518,0.040949364631579666,-0.018942208018615486,-0.01888788554364834
z327,-0.015618548412795877,0.05410423878287342,-0.016831044629400067,-0.016782776550005457
z33,0.08350739120139873,-0.024106507394725477,-0.02249755532729291,-0.022433036825284684
z330,0.1048152332444382,-0.030257551564424917,-0.028238057435811287,-0.028157076318579843
z331,-0.05120389013348638,0.2144849964826125,-0.07092107718446633,-0.07071768967883811
z336,0.0627443589565463,-0.01811273626684626,-0.01690382931130033,-0.016855352499953426
z343,-0.04110443008398019,0.1423899226432327,-0.04429544147923028,-0.04416841098687427
z349,-0.07433917382359032,0.28787054253139555,-0.09298584334780674,-0.0927191784931817
z350,-0.04672354504689416,0.187441986882865,-0.06120492479549049,-0.061029401277228924
z352,0.07069576631088186,-0.020408109855077267,-0.01904600169042036,-0.018991381555901955
z353,-0.050846749185604216,0.23255711755049974,-0.07872735812507434,-0.0785015837625092
z354,-0.03585016852572949,0.18963426152530677,-0.06639581196415471,-0.06620540201670813
z355,0.05391657039404813,-0.015564373215392547,-0.014525552864806333,-0.01448389647601009
z356,-0.04119251848816896,0.178141699368238,-0.05942709485416085,-0.059256669797619725
z358,-0.034016976950343766,0.1614055568878991,-0.05513934907556941,-0.0549812204188194
z36,-0.022370523434647176,0.0774937663614383,-0.024107187707861126,-0.024038053101193207
z363,-0.07758224197550283,0.3066854910805914,-0.09969643733794961,-0.09941052783804949
z366,-0.04578473270746474,0.21410869869859125,-0.07288503299698103,-0.07267601325775276
z367,0.03162673019007228,-0.009129850594412948,-0.008520492641860875,-0.008496057568199432
z369,-0.028222106698199145,0.11613571068493586,-0.0382063535567194,-0.03809678535418295
z37,0.08760169813806112,-0.025288432000738967,-0.023600594178217256,-0.023532912380762785
z370,-0.03013062778495119,0.20116995976988733,-0.07353063601084753,-0.07331976481092758
z371,-0.03634606447210132,0.12590646064170724,-0.03916767532197836,-0.03905535024033482
z372,-0.06162325761826505,0.24434958499575302,-0.07950686291749509,-0.07927885309064131
z374,-0.028749475413198573,0.09959110421322429,-0.03098134928819321,-0.030892500957021757
z375,-0.03902992151773488,0.17067852229994152,-0.05710860755217839,-0.05694483145484521
z378,-0.027200097182076638,0.09422390058033558,-0.029311690017267033,-0.0292276299359057
z383,-0.0062353975140252045,0.06984883398856963,-0.02718695905608523,-0.027108992279387067
z385,-0.05629325100737475,0.21523843122587977,-0.06924634179605527,-0.06904775709752978
z386,-0.033622941998544466,0.11647328768284095,-0.036233151916063897,-0.036129242462318724
z390,0.068358786017078,-0.013853755967154137,-0.0209106244574903,-0.02085065695673626
z392,-0.013622786088460601,0.047190715291712516,-0.014680347659184679,-0.014638247349788788
z393,-0.017177773619178008,0.05950555333866526,-0.018511315314120196,-0.018458228553496922
z395,-0.0351830963411181,0.12187782086081449,-0.03791442386750184,-0.03780569286109474
z397,-0.015817328728021215,0.05479283399390312,-0.01704525662071821,-0.016996374224052632
z398,-0.0731722293458361,0.3098342331075645,-0.10276029186723694,-0.10246559584356907
z4,0.031626730190072276,-0.009129850594412951,-0.008520492641860871,-0.00849605756819943
z400,-0.014262142753270377,0.049405511746929136,-0.015369338740500631,-0.015325262542088488
z401,0.031626730190072276,-0.009129850594412953,-0.008520492641860873,-0.008496057568199433
z402,-0.031215018077536794,0.15434091090802984,-0.0532404659186675,-0.05308778288011864
z405,-0.04022921392168248,0.1754365948246425,-0.05865705560402559,-0.058488838866485496
