feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z4,4,in_feedforward_loop,-0.008520492641860871,0.5900768806426484,0.008520492641860871,0.454,0.509498997995992,False
z5,5,in_feedforward_loop,-0.06190564944244704,8.936406690743323e-05,0.06190564944244704,0.0,0.0,True
z7,7,in_feedforward_loop,-0.008520492641860873,0.5900768806426484,0.008520492641860873,0.922,0.9328274616079494,False
z9,9,in_feedforward_loop,-0.025321989559529724,0.10931947013380845,0.025321989559529724,0.168,0.2187906976744186,False
z10,10,in_feedforward_loop,-0.014502326514616568,0.3591587736203798,0.014502326514616568,0.395,0.4532786885245902,False
z13,13,in_feedforward_loop,-0.05626894486294004,0.00037019269958087054,0.05626894486294004,0.002,0.004072727272727273,True
z14,14,in_feedforward_loop,-0.04939625577821809,0.0017779009491866176,0.04939625577821809,0.002,0.004072727272727273,True
z15,15,in_feedforward_loop,-0.06383369506044656,5.3438421079362844e-05,0.06383369506044656,0.0,0.0,True
z16,16,in_feedforward_loop,-0.016919404580083244,0.28470068626435463,0.016919404580083244,0.303,0.3641201716738197,False
z17,17,in_feedforward_loop,-0.027985233716134206,0.07677129807940247,0.027985233716134206,0.055,0.08010403120936281,False
z18,18,in_feedforward_loop,-0.08478776228548941,7.854239934874524e-08,0.08478776228548941,0.0,0.0,True
z19,19,in_feedforward_loop,-0.056525879093642026,0.00034788866304170577,0.056525879093642026,0.0,0.0,True
z20,20,in_feedforward_loop,-0.05690753585007374,0.00031706643976561684,0.05690753585007374,0.0,0.0,True
z22,22,in_feedforward_loop,-0.014666499770714754,0.3537443998743382,0.014666499770714754,0.216,0.2709070548712206,False
z27,27,in_feedforward_loop,-0.03833825869541288,0.015314376718003253,0.03833825869541288,0.024,0.03873198847262248,True
z29,29,in_feedforward_loop,-0.06115704478485372,0.00010869026875408476,0.06115704478485372,0.0,0.0,True
z30,30,in_feedforward_loop,-0.008520492641860873,0.5900768806426484,0.008520492641860873,0.363,0.4239416058394161,False
z31,31,in_feedforward_loop,-0.050386099560238554,0.0014339658970739572,0.050386099560238554,0.001,0.0021538461538461538,True
z32,32,in_feedforward_loop,-0.012050171041837743,0.4461142002787063,0.012050171041837743,0.725,0.7539461467038068,False
z33,33,in_feedforward_loop,-0.02249755532729291,0.15485050195200145,0.02249755532729291,0.204,0.259047619047619,False
z36,36,in_feedforward_loop,-0.024107187707861126,0.12740447184810028,0.024107187707861126,0.116,0.15728813559322033,False
z37,37,in_feedforward_loop,-0.023600594178217256,0.13560113584324668,0.023600594178217256,0.175,0.2265895953757225,False
z41,41,in_feedforward_loop,-0.08534782115152392,6.44301611114541e-08,0.08534782115152392,0.0,0.0,True
z43,43,in_feedforward_loop,-0.017632687785984657,0.2648816122175568,0.017632687785984657,0.358,0.42161934805467927,False
z44,44,in_feedforward_loop,-0.01676623330842552,0.2890841914949492,0.01676623330842552,0.298,0.3596551724137931,False
z47,47,in_feedforward_loop,-0.07044311537722528,8.220413874859507e-06,0.07044311537722528,0.0,0.0,True
z48,48,in_feedforward_loop,-0.0188355762363079,0.2336536778337901,0.0188355762363079,0.357,0.4213277133825079,False
z49,49,in_feedforward_loop,-0.010900947498252968,0.4906713351784278,0.010900947498252968,0.765,0.7889502762430939,False
z51,51,in_feedforward_loop,-0.04828313345942317,0.00225420578117549,0.04828313345942317,0.002,0.004072727272727273,True
z53,53,in_feedforward_loop,-0.023220159547224777,0.14201981970481928,0.023220159547224777,0.091,0.1264516129032258,False
z54,54,in_feedforward_loop,-0.012049707444822338,0.4461316976128472,0.012049707444822338,0.943,0.9523534715960323,False
z56,56,in_feedforward_loop,-0.06761492265194707,1.8697312856518945e-05,0.06761492265194707,0.0,0.0,True
z58,58,in_feedforward_loop,-0.07008235555490391,9.144716401026442e-06,0.07008235555490391,0.0,0.0,True
z60,60,in_feedforward_loop,-0.07171163440391876,5.628892349217169e-06,0.07171163440391876,0.0,0.0,True
z65,65,in_feedforward_loop,-0.07980491533140695,4.3312703849641013e-07,0.07980491533140695,0.0,0.0,True
z66,66,in_feedforward_loop,-0.06702900725040233,2.208135316338768e-05,0.06702900725040233,0.0,0.0,True
z67,67,in_feedforward_loop,-0.07542631784043659,1.7909026210650527e-06,0.07542631784043659,0.0,0.0,True
z70,70,in_feedforward_loop,-0.0502095626137641,0.001490418986379464,0.0502095626137641,0.0,0.0,True
z71,71,in_feedforward_loop,-0.06288116134496667,6.901697326165324e-05,0.06288116134496667,0.0,0.0,True
z75,75,in_feedforward_loop,-0.07214872917735263,4.933087999589451e-06,0.07214872917735263,0.0,0.0,True
z76,76,in_feedforward_loop,-0.0517114170514589,0.0010690902350806732,0.0517114170514589,0.001,0.0021538461538461538,True
z77,77,in_feedforward_loop,-0.07175255689438786,5.559960064105158e-06,0.07175255689438786,0.0,0.0,True
z81,81,in_feedforward_loop,-0.0631195162822774,6.475855918322375e-05,0.0631195162822774,0.0,0.0,True
z82,82,in_feedforward_loop,-0.013988676838195848,0.3764326414843543,0.013988676838195848,0.613,0.6526235741444867,False
z85,85,in_feedforward_loop,-0.020798993163136045,0.18845111196806746,0.020798993163136045,0.183,0.23531572904707232,False
z86,86,in_feedforward_loop,-0.06648859478048011,2.5712739502888643e-05,0.06648859478048011,0.0,0.0,True
z88,88,in_feedforward_loop,-0.023349405252880394,0.1398135293433553,0.023349405252880394,0.206,0.26099547511312216,False
z90,90,in_feedforward_loop,-0.02244224497859303,0.15586773715071728,0.02244224497859303,0.125,0.16786570743405274,False
z91,91,in_feedforward_loop,-0.09940074438650404,2.9707363976953866e-10,0.09940074438650404,0.0,0.0,True
z93,93,in_feedforward_loop,-0.018470241385256422,0.2428490605979758,0.018470241385256422,0.296,0.35878787878787877,False
z95,95,in_feedforward_loop,-0.05869194298408981,0.00020397168849764695,0.05869194298408981,0.0,0.0,True
z99,99,in_feedforward_loop,-0.015010293551379906,0.3425742937357046,0.015010293551379906,0.285,0.3477124183006536,False
z100,100,in_feedforward_loop,-0.02542485941664173,0.10788630545742296,0.02542485941664173,0.117,0.1584522370012092,False
z101,101,in_feedforward_loop,-0.08640971796351432,4.4107801728569784e-08,0.08640971796351432,0.0,0.0,True
z105,105,in_feedforward_loop,-0.024163653436857502,0.1265152521529827,0.024163653436857502,0.175,0.2265895953757225,False
z108,108,in_feedforward_loop,-0.03359208255952227,0.03362957816591652,0.03359208255952227,0.047,0.07009320905459387,False
z109,109,in_feedforward_loop,-0.0702893798170575,8.602825244981144e-06,0.0702893798170575,0.0,0.0,True
z110,110,in_feedforward_loop,-0.06781252012995824,1.76719221681384e-05,0.06781252012995824,0.0,0.0,True
z111,111,in_feedforward_loop,-0.04037271689556006,0.010660406784118498,0.04037271689556006,0.005,0.009271523178807948,True
z112,112,in_feedforward_loop,-0.07504567369547595,2.0189034250974e-06,0.07504567369547595,0.0,0.0,True
z113,113,in_feedforward_loop,-0.07445475683175412,2.4289553826553427e-06,0.07445475683175412,0.0,0.0,True
z115,115,in_feedforward_loop,-0.07067213279324373,7.680721674781694e-06,0.07067213279324373,0.0,0.0,True
z116,116,in_feedforward_loop,-0.04279939980117662,0.006783984175946566,0.04279939980117662,0.006,0.010909090909090908,True
z118,118,in_feedforward_loop,-0.010784410585386029,0.495319471777538,0.010784410585386029,0.801,0.8192876712328768,False
z120,120,in_feedforward_loop,-0.02403862564771777,0.128490709104604,0.02403862564771777,0.187,0.23963386727688787,False
z123,123,in_feedforward_loop,-0.04064379926953178,0.010146437847222923,0.04064379926953178,0.008,0.014267515923566879,True
z128,128,in_feedforward_loop,-0.021329901524217626,0.1774162436285309,0.021329901524217626,0.233,0.28963374028856825,False
z129,129,in_feedforward_loop,-0.06258517841629803,7.467398493284693e-05,0.06258517841629803,0.0,0.0,True
z130,130,in_feedforward_loop,-0.024178308537545764,0.1262852556575966,0.024178308537545764,0.064,0.09166240409207162,False
z132,132,in_feedforward_loop,-0.0646632213254175,4.2644079755867865e-05,0.0646632213254175,0.0,0.0,True
z134,134,in_feedforward_loop,-0.02088290206595045,0.18667418020038318,0.02088290206595045,0.344,0.4077037037037037,False
z135,135,in_feedforward_loop,-0.030155676650961166,0.05651410820476091,0.030155676650961166,0.036,0.05576763485477178,False
z136,136,in_feedforward_loop,-0.046417716502221,0.0033206798845059515,0.046417716502221,0.004,0.0075803722504230115,True
z137,137,in_feedforward_loop,-0.04085404639709049,0.009763121674886098,0.04085404639709049,0.011,0.018983050847457623,True
z138,138,in_feedforward_loop,-0.027563724104423006,0.0813215133116066,0.027563724104423006,0.105,0.14376528117359413,False
z140,140,in_feedforward_loop,-0.05434334417920153,0.0005850729374043162,0.05434334417920153,0.0,0.0,True
z141,141,in_feedforward_loop,-0.02287064523874663,0.14812008399878066,0.02287064523874663,0.131,0.1752927120669056,False
z142,142,in_feedforward_loop,-0.013344023146104987,0.398823700413595,0.013344023146104987,0.334,0.3975345377258236,False
z144,144,in_feedforward_loop,-0.011918141077238292,0.4511131103231202,0.011918141077238292,0.287,0.34939130434782606,False
z145,145,in_feedforward_loop,-0.0895940630637688,1.3782223509603581e-08,0.0895940630637688,0.0,0.0,True
z147,147,in_feedforward_loop,-0.00852049264186087,0.5900768806426484,0.00852049264186087,0.933,0.9431046931407943,False
z148,148,in_feedforward_loop,-0.012560946658183527,0.42707490144983223,0.012560946658183527,0.311,0.3725347593582888,False
z151,151,in_feedforward_loop,-0.07565216979864414,1.6675374790797677e-06,0.07565216979864414,0.0,0.0,True
z152,152,in_feedforward_loop,-0.04231011795083081,0.00744424550155413,0.04231011795083081,0.003,0.005863874345549739,True
z153,153,in_feedforward_loop,-0.047026227842196296,0.0029306873722340027,0.047026227842196296,0.002,0.004072727272727273,True
z154,154,in_feedforward_loop,-0.05799593315144423,0.00024261923345771978,0.05799593315144423,0.0,0.0,True
z156,156,in_feedforward_loop,-0.08378448535147139,1.1164463764895581e-07,0.08378448535147139,0.0,0.0,True
z158,158,in_feedforward_loop,-0.023429944815149154,0.13845207070744642,0.023429944815149154,0.141,0.18710900473933648,False
z160,160,in_feedforward_loop,-0.012825222253899074,0.41741270073705533,0.012825222253899074,0.472,0.5265338645418326,False
z162,162,in_feedforward_loop,-0.06224811636200085,8.164931478466827e-05,0.06224811636200085,0.0,0.0,True
z164,164,in_feedforward_loop,-0.01092131595017736,0.4898613415180129,0.01092131595017736,0.512,0.561645445641528,False
z165,165,in_feedforward_loop,-0.0683711755105655,1.5054725508323779e-05,0.0683711755105655,0.0,0.0,True
z167,167,in_feedforward_loop,-0.013625226288489677,0.38895962161849107,0.013625226288489677,0.691,0.7226143790849673,False
z168,168,in_feedforward_loop,-0.04478417712888196,0.004612260253441054,0.04478417712888196,0.004,0.0075803722504230115,True
z169,169,in_feedforward_loop,-0.06004616572282112,0.0001447574777137263,0.06004616572282112,0.0,0.0,True
z172,172,in_feedforward_loop,-0.0544298766284782,0.0005733352451225546,0.0544298766284782,0.0,0.0,True
z173,173,in_feedforward_loop,-0.05329098388844698,0.0007468942850105409,0.05329098388844698,0.0,0.0,True
z176,176,in_feedforward_loop,-0.008520492641860873,0.5900768806426484,0.008520492641860873,0.27,0.33049180327868855,False
z178,178,in_feedforward_loop,-0.05568804824062608,0.00042563804145923545,0.05568804824062608,0.0,0.0,True
z179,179,in_feedforward_loop,-0.08635619652586578,4.496315692184343e-08,0.08635619652586578,0.0,0.0,True
z180,180,in_feedforward_loop,-0.030273198352806893,0.05555814611234638,0.030273198352806893,0.059,0.08526451612903226,False
z181,181,in_feedforward_loop,-0.008520492641860876,0.5900768806426484,0.008520492641860876,0.638,0.6734778510838831,False
