feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z1,-0.05294199508697309,0.19476507912965563,-0.06187463568456438,-0.06169719156903288
z10,-0.047510573030756655,0.22653286780020565,-0.07747916051375905,-0.07725696573301599
z100,-0.05863178469130799,0.23697270502505857,-0.0775497918922014,-0.07732739455475096
z101,-0.05767324721722012,0.23038513372792102,-0.07513091302016885,-0.07491545254492818
z102,-0.03747803859859236,0.14456619379861102,-0.04663969198781583,-0.04650593865251332
z105,-0.05429197190412282,0.2601095835056018,-0.0890652551061505,-0.08880983371672257
z106,-0.034023920125825224,0.2108244894361948,-0.07610051067671963,-0.07588226958876612
z107,-0.03578945372993041,0.23513001042668608,-0.0857192424596189,-0.08547341676716844
z108,-0.04378607413085449,0.21860825258276778,-0.07557698412161618,-0.07536024440341618
z109,-0.08503028877783558,0.34796822019077916,-0.11429024396721849,-0.11396248234033747
z11,-0.0674750923815195,0.28113138412303684,-0.09281684264746394,-0.09255066245314378
z110,-0.049988596300568774,0.20009153445774788,-0.06529149494838929,-0.0651042519619108
z111,-0.056892957859561846,0.247335780402809,-0.08262727362211153,-0.08239031507965805
z112,-0.07008251663826355,0.34914868786634234,-0.12064853259626386,-0.12030253666562346
z113,-0.05198593450256134,0.21927736549588941,-0.07264757943018131,-0.07243924066042741
z114,-0.04634625106480646,0.2979821254511463,-0.1082447306226775,-0.10793430632241648
z115,-0.05082524829477217,0.20238476965259516,-0.06593644697830386,-0.0657473543980259
z116,-0.05760814463327303,0.2254570466190644,-0.07306589294791196,-0.0728563545384132
z118,-0.08463150283862712,0.37048776852567233,-0.12399947622215245,-0.12364387045346917
z119,-0.06739583413038945,0.2612974846879601,-0.08443421214798714,-0.08419207166619785
z12,0.0572013681788986,-0.016512612658051,-0.015410503512173756,-0.015366309261405909
z120,0.031626730190072276,-0.009129850594412951,-0.008520492641860873,-0.00849605756819943
z121,-0.02750881436868859,0.1933632759868036,-0.07124638194409638,-0.07104206152929282
z122,-0.06706807523594478,0.2908137807610196,-0.09708368425740052,-0.09680526761227604
z123,-0.05920489331828793,0.2723494504909088,-0.092332291200278,-0.09206750060287465
z124,-0.05159047055369517,0.22047564982819157,-0.07331086956551011,-0.07310062861192754
z125,-0.07689737075295988,0.3597778197718605,-0.12248697979501921,-0.12213571156445287
z126,0.08563868977952496,-0.0247217602986278,-0.023071744114543297,-0.02300557895360328
z128,-0.05789248870561309,0.22865267952812313,-0.07431007962534102,-0.07409697313657858
z129,-0.06568129577243162,0.26287692575845384,-0.08577609239683343,-0.08553010367010055
z13,-0.05520390151281575,0.3378606504148629,-0.12169048740313612,-0.12134150335390581
z130,-0.04341386491010836,0.21023179826283483,-0.0721694854602737,-0.0719625177686796
z131,-0.06974939973672932,0.35183547011891037,-0.12191882303506582,-0.12156918416477995
z133,-0.04994887363617194,0.2348422728591558,-0.08004858517388042,-0.0798190217956306
z134,-0.05639856792586449,0.23182292530153198,-0.07624033862551712,-0.07602169653889226
z135,-0.03170255307069911,0.5499219999315862,-0.22085788683917523,-0.22022451046524202
z136,-0.07643987855227002,0.3386987452719737,-0.11372435374775433,-0.11339821498116767
z137,-0.04654104740882695,0.17499684016223166,-0.05599711471527404,-0.0558365261577329
z14,-0.06145842174915981,0.28499052855513113,-0.09681165004043737,-0.09653401353519561
z140,-0.09284509043884523,0.369206298336029,-0.1202372402910715,-0.11989242386473867
z141,-0.06482798900237993,0.24263773476772657,-0.07752485755989033,-0.07730253172913229
z142,-0.06410879768869043,0.2791908561410501,-0.09331279291948505,-0.09304519043869175
z143,-0.05688030120456727,0.20894670532926823,-0.06634729933132455,-0.06615702850843408
z145,-0.0619806649839339,0.23642058576785288,-0.07600326605117018,-0.07578530384140932
z147,-0.04165122287126409,0.1442840684208085,-0.044884682781467455,-0.04475596246256855
z148,0.041694136575344605,0.03446229958745327,-0.03095768560395245,-0.030868905135508155
z149,-0.058848551356310355,0.23191400673711363,-0.07531891056958732,-0.07510291095486718
z15,-0.061371142927072166,0.2310027019386444,-0.07394381007401334,-0.07373175397327922
z150,0.01658089891391746,0.17709278379659804,-0.08162158153148001,-0.08138750711337804
z151,-0.052360298700051364,0.24157807152674304,-0.08196100579668197,-0.08172595797747854
z152,-0.02104348982249003,0.18061439139992683,-0.06837175094186246,-0.06817567439548783
z153,-0.047832106343108007,0.1767117807516465,-0.05621868314815391,-0.05605745917653447
z154,-0.03475843110868572,0.16831161591590565,-0.05777840043060095,-0.05761270350086871
z155,-0.028660648627802352,0.14380153192800543,-0.04977055301774379,-0.04962782099739267
z156,-0.05610986774145588,0.22951590367479227,-0.07537481454154055,-0.07515865460537771
z157,-0.052918052496256814,0.196554816693489,-0.06264323809269295,-0.06246358977873672
z158,-0.05544999518693189,0.2828768835802211,-0.09826952473074557,-0.09798770733163485
z159,-0.03947985917637884,0.1697051267892154,-0.05651937054327093,-0.056357284260168186
z16,-0.0403875871942983,0.2435493692194915,-0.08748894501128171,-0.08723804416484353
z160,-0.058956612592115966,0.23335069776380368,-0.07588602015828949,-0.07566839418636719
z161,-0.07615358618796578,0.32793488189516395,-0.10927043032688877,-0.10895706452443056
z162,-0.017228151363631962,0.18594322204533628,-0.07212738278266255,-0.0719205358331513
z164,-0.057377726225585485,0.22922431253236866,-0.07475428861198294,-0.07453990822043507
z165,-0.04930348536471986,0.18999365970118656,-0.06127637238642167,-0.061100643970718044
z166,-0.0365505951630315,0.23056284422126633,-0.08348355071387636,-0.08324413653949037
z168,-0.04174213008389249,0.19404689492832466,-0.06595882412236012,-0.06576966736889564
z169,-0.05264084047406438,0.23910521128673373,-0.08080206509336768,-0.0805703408849747
z17,-0.00032679279071076706,0.055552054028729606,-0.023437539576344923,-0.02337032538697078
z170,-0.0720790604858203,0.27848767600278523,-0.08989122271692086,-0.08963343261710732
z171,-0.04002705694593808,0.1697156442266216,-0.05630940385594005,-0.05614791971542306
z172,-0.09269699189065855,0.4314921135126166,-0.14671738575016893,-0.14629662954757483
z173,-0.04903566224423118,0.22215593392895877,-0.0750248015054773,-0.07480964533689907
z174,-0.06896428263311036,0.27750152794750915,-0.09069346719603841,-0.0904333764190498
z176,-0.05358058111690372,0.22212668761966042,-0.07323139530652396,-0.07302138226926666
z177,-0.027762422371973124,0.09617185217888863,-0.02991766953067876,-0.02983187162092301
z178,-0.062110035934726686,0.33684482325013315,-0.11855328583417934,-0.11821329865339911
z179,-0.04269975287972486,0.21623339962070615,-0.07499524614315431,-0.07478017473346099
z18,-0.02721050511772419,0.16037765539278742,-0.057370531204065,-0.05720600396193341
z180,-0.026632975388434486,0.16905423811006043,-0.061277517097170164,-0.0611017853986644
z181,-0.04291447616596141,0.21007149488273447,-0.07229717708862038,-0.0720898432029016
z182,-0.042533827156151345,0.23344410400496227,-0.0823611768892569,-0.08212498145916577
z183,-0.06752312104217353,0.316705360394021,-0.10788876979026132,-0.10757936631467868
z184,-0.00878248546669511,0.16691841901046608,-0.06736648870189277,-0.06717329504714367
z185,-0.06834013768339858,0.27149267513007014,-0.0883890479512116,-0.08813556578904856
z186,-0.04664622779691348,0.2617484526718551,-0.09275658374501589,-0.09249057636121055
z187,-0.0850734319581195,0.37427102699984427,-0.1254311858382652,-0.12507147421192769
z188,-0.05906099227914757,0.22767288816120687,-0.07343654781382433,-0.0732259464400895
z189,-0.036923067016248645,0.12790525608682649,-0.03978947161924915,-0.03967536334982939
z19,-0.05481448118899454,0.20889127785614567,-0.06713331144160334,-0.06694078649273438
z190,-0.04799744518693158,0.2545438608538695,-0.08917084547153703,-0.08891512126999898
z191,-0.05718966428534111,0.24378064106333175,-0.08100288761602054,-0.08077058748868245
z192,-0.06267739454518201,0.28511963320583056,-0.09638874307097589,-0.09611231937858253
z193,-0.05438969157377872,0.22450442216505767,-0.07392298519085014,-0.07371098881172784
z194,-0.041833770625434724,0.15746311175364913,-0.05040379767842976,-0.05025924963867928
z195,-0.044649472270982635,0.30043026987856253,-0.10994816198940388,-0.10963285258769713
z197,-0.05473476063311546,0.2335887327808294,-0.07764139711950785,-0.07741873707653424
z198,0.08531592452841444,-0.08779104554023476,0.0038092011931904254,0.003798277163834474
z199,0.031626730190072276,-0.009129850594412953,-0.008520492641860871,-0.00849605756819943
z2,-0.05628624467313772,0.2927425543216835,-0.10212691852898188,-0.10183403889373494
z200,-0.056073121452633996,0.27966994338883133,-0.09666493454472033,-0.0963877187902609
z201,-0.0357152128798332,0.17629401342600332,-0.060789663059869034,-0.06061533042944985
z202,-0.06796330367568683,0.2878010092661871,-0.09545483426952989,-0.09518108884133031
z203,-0.022277692645351694,0.07717219107430526,-0.024007150296168317,-0.023938302576846753
z204,-0.03519904892931429,0.16564288523107085,-0.05647364163506091,-0.056311686493347224
z205,-0.07337253404955159,0.3173688812045924,-0.10587805356059601,-0.1055744164181644
z206,-0.03010525539111223,0.20290656946891977,-0.07427726147105139,-0.07406424909821055
z207,-0.06624178244806636,0.2608603796558357,-0.08470102265759905,-0.08445811701647798
z209,-0.05261856034673176,0.20928749078895936,-0.06816189490988833,-0.06796642018876194
z21,-0.05042911360120524,0.22311501427250335,-0.07488560422369553,-0.07467084724516143
z210,-0.06704423668256054,0.2860993501900326,-0.09509312891810039,-0.09482042078871411
z211,-0.06996187515437292,0.3223477415587013,-0.10932664516719419,-0.10901311815178487
z212,-0.044512702059680956,0.21486345729890982,-0.07370367297080718,-0.07349230553539471
z213,-0.05395572470515966,0.2887624883634008,-0.10135179645560594,-0.10106113971588343
z214,0.06840448633538031,-0.019746674299754952,-0.018428712642378574,-0.01837586276974447
z215,0.031626730190072276,-0.00912985059441295,-0.008520492641860873,-0.008496057568199428
z216,-0.0258911931965036,0.21294557584026524,-0.08018723155588126,-0.07995727056745797
z217,-0.042805984233050695,0.18968723309216928,-0.06369253443317231,-0.06350987694657198
z218,-0.08632688940016836,0.3637157066791886,-0.12046235217588944,-0.12011689017356485
z22,-0.06170494071723694,0.2952568745258446,-0.10107010868674526,-0.10078025977136708
z220,-0.08112305374190244,0.3170278454869482,-0.10269621761794095,-0.10240170534644175
z221,-0.05346141541962818,0.2622714947554756,-0.09030782103913333,-0.09004883621841359
z222,-0.05619701524167564,0.2207583613992735,-0.07162564917394287,-0.07142024109636108
z223,-0.0626368283854502,0.2569344376985628,-0.08444826792759708,-0.08420608713663498
z224,-0.06290552558945009,0.4045240797448457,-0.1469516093713243,-0.14653018146209573
z226,-0.02823715874315074,0.09781638720904966,-0.030429260546649486,-0.030341995495886113
z227,-0.037286845481360534,0.15586168491126617,-0.051506246267446903,-0.051358536625003635
z229,-0.07494884192003684,0.3272482356502918,-0.10945124828613431,-0.10913736393382939
z231,0.010653913054012958,0.029499329892190982,-0.01668874482609354,-0.01664088483415608
z233,-0.03962595558757098,0.18601565033265502,-0.06338116691372758,-0.06319940236707725
z234,-0.06410384962809115,0.2513965254669081,-0.08152416804821402,-0.08129037299255498
z236,-0.04565639965828299,0.22142469647160173,-0.07603882357948576,-0.07582075939782491
z237,-0.07056245789052615,0.3111349320857278,-0.10433473914129837,-0.1040355279168393
