feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z132,132,in_feedforward_loop,-0.01904379300277583,0.22852466122539955,0.01904379300277583,0.202,0.2938181818181818,False
z133,133,in_feedforward_loop,0.01504636364070143,0.34141555865779716,0.01504636364070143,0.328,0.4592,False
z139,139,in_feedforward_loop,0.06797245858587289,1.6881404522902405e-05,0.06797245858587289,0.0,0.0,True
z146,146,in_feedforward_loop,0.04144166995633629,0.008759303084541375,0.04144166995633629,0.005,0.00918032786885246,True
z147,147,in_feedforward_loop,0.009602908633260274,0.5437411213316911,0.009602908633260274,0.522,0.6581573033707866,False
z149,149,in_feedforward_loop,-0.015948168080320166,0.3132626695229138,0.015948168080320166,0.31,0.43949367088607594,False
z150,150,in_feedforward_loop,-0.03451931930097159,0.029023904607523198,0.03451931930097159,0.033,0.05866666666666667,False
z155,155,in_feedforward_loop,-0.009084956809649172,0.5656867414494156,0.009084956809649172,0.577,0.7180444444444444,False
z158,158,in_feedforward_loop,0.0023445032477467428,0.8821586804305914,0.0023445032477467428,0.886,0.9613333333333334,False
z161,161,in_feedforward_loop,-0.02821920182394055,0.07433651692341267,0.02821920182394055,0.074,0.11673239436619719,False
z163,163,in_feedforward_loop,0.06983961862868009,9.821625445413872e-06,0.06983961862868009,0.0,0.0,True
z172,172,in_feedforward_loop,-0.005496757908992227,0.7281860750122586,0.005496757908992227,0.722,0.8512,False
z176,176,in_feedforward_loop,0.0358423919876481,0.023396839075769667,0.0358423919876481,0.027,0.04877419354838709,True
z185,185,in_feedforward_loop,-0.021142450555968226,0.18125610385180918,0.021142450555968226,0.178,0.26581333333333335,False
z189,189,in_feedforward_loop,-0.01146417387826481,0.46854085285408004,0.01146417387826481,0.486,0.6256551724137931,False
z192,192,in_feedforward_loop,0.0494329023881766,0.001763921896470891,0.0494329023881766,0.001,0.0021132075471698114,True
z392,392,in_feedforward_loop,-0.028472975310826012,0.07176732447152556,0.028472975310826012,0.066,0.1056,False
z398,398,in_feedforward_loop,-0.03133478841438672,0.047518067290489095,0.03133478841438672,0.045,0.07875,False
z401,401,in_feedforward_loop,-0.031129997168776506,0.048988052032638646,0.031129997168776506,0.048,0.08145454545454546,False
z410,410,in_feedforward_loop,-0.012767211223021333,0.41952254250579607,0.012767211223021333,0.436,0.579764705882353,False
z421,421,in_feedforward_loop,-0.008433716637410056,0.5938689459060319,0.008433716637410056,0.595,0.7323076923076923,False
z424,424,in_feedforward_loop,-0.028719793711121856,0.06933875558966453,0.028719793711121856,0.063,0.10226086956521739,False
z425,425,in_feedforward_loop,-0.011934640803973431,0.45048667136550824,0.011934640803973431,0.457,0.5951627906976744,False
z428,428,in_feedforward_loop,-0.026525563980731682,0.09346531377245947,0.026525563980731682,0.093,0.14075675675675675,False
z442,442,in_feedforward_loop,-0.030748640217012874,0.05182714762411426,0.030748640217012874,0.047,0.08098461538461538,False
z445,445,in_feedforward_loop,-0.012652971084558363,0.42369569489580505,0.012652971084558363,0.426,0.5748433734939759,False
z446,446,in_feedforward_loop,-0.028771502932607843,0.0688386078294642,0.028771502932607843,0.06,0.09882352941176471,False
z447,447,in_feedforward_loop,-0.030010477863742103,0.05771406645637836,0.030010477863742103,0.055,0.09194029850746269,False
z132,132,in_feedback_loop,0.2442328222355731,2.077609785808143e-55,0.2442328222355731,0.0,0.0,True
z133,133,in_feedback_loop,-0.04574429304102162,0.003806909274238291,0.04574429304102162,0.003,0.006,True
z139,139,in_feedback_loop,-0.5456556477404267,3.258947200151655e-309,0.5456556477404267,0.0,0.0,True
z146,146,in_feedback_loop,-0.30542149254781775,3.997325381276782e-87,0.30542149254781775,0.0,0.0,True
z147,147,in_feedback_loop,0.050495468119684084,0.0013999873949973249,0.050495468119684084,0.003,0.006,True
z149,149,in_feedback_loop,0.19262362643339515,9.745840658384164e-35,0.19262362643339515,0.0,0.0,True
z150,150,in_feedback_loop,0.1760105048681525,3.4004796815240545e-29,0.1760105048681525,0.0,0.0,True
z155,155,in_feedback_loop,0.13092815065476515,9.265002994187868e-17,0.13092815065476515,0.0,0.0,True
z158,158,in_feedback_loop,0.1239286324509726,3.666766829190046e-15,0.1239286324509726,0.0,0.0,True
z161,161,in_feedback_loop,0.2524687259873507,3.2985372893086806e-59,0.2524687259873507,0.0,0.0,True
z163,163,in_feedback_loop,-0.5498876895868222,5.742296546e-315,0.5498876895868222,0.0,0.0,True
z172,172,in_feedback_loop,0.1531568436067251,2.01595811327141e-22,0.1531568436067251,0.0,0.0,True
z176,176,in_feedback_loop,-0.29336712243916246,3.1829725504922146e-80,0.29336712243916246,0.0,0.0,True
z185,185,in_feedback_loop,0.18562431223021644,2.4456035702815672e-32,0.18562431223021644,0.0,0.0,True
z189,189,in_feedback_loop,0.15122655519281036,6.7928875220890875e-22,0.15122655519281036,0.0,0.0,True
z192,192,in_feedback_loop,-0.33830473936367167,1.1212805415329424e-107,0.33830473936367167,0.0,0.0,True
z392,392,in_feedback_loop,0.13016545576127536,1.396980847354045e-16,0.13016545576127536,0.0,0.0,True
z398,398,in_feedback_loop,0.14951193896263332,1.9720781617540184e-21,0.14951193896263332,0.0,0.0,True
