feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z101,-0.025109083721422384,0.22333021612547965,-0.08489895616923526,-0.08465548289427655
z107,-0.029022923675435783,0.2284522948225791,-0.08553807917524878,-0.08529277302296864
z112,0.08018285511714845,-0.02307858845225281,-0.021630833229314268,-0.021568800313433317
z117,-0.062167948412415616,0.36060649224057095,-0.12861047036768344,-0.12824164118735787
z118,-0.04241494259533091,0.23127115999539308,-0.08148598454917622,-0.08125229899617749
z121,-0.020828052632945595,0.2160511552025748,-0.0834887148636835,-0.08324928587954578
z122,-0.053936816925323934,0.2442625738305936,-0.08248200776874252,-0.08224546581978623
z125,-0.07058275352912838,0.33285448515926186,-0.11354038352807336,-0.11321477235138774
z126,0.04617302413663063,-0.734927538184931,0.29366813857445245,0.2928259569190359
z129,-0.07082577300551024,0.34282247507080776,-0.11767364862519658,-0.11733618406850632
z131,-0.04284237403936121,0.23130609907195185,-0.08133331006913126,-0.08110006235609354
z132,-0.053452869870629256,0.2534477969616429,-0.08656809086702848,-0.08631983084663078
z134,0.0713526568432354,-0.02059773781791848,-0.01922297322411319,-0.01916784557052946
z136,-0.049667457270432216,0.24217727707726158,-0.08327042659746436,-0.08303162362054106
z154,-0.07931840863568673,0.34355571295103304,-0.11465671752381126,-0.1143279049238555
z169,-0.060834129164808966,0.24568456607495537,-0.08038240461909557,-0.08015188391325019
z173,-0.03223096120254946,0.22722757068808225,-0.08376142080014981,-0.08352120974977183
z178,-0.037887288345748976,0.2262725028380575,-0.08113975090983218,-0.08090705828586198
z182,-0.04316140995131994,0.3244328797678129,-0.1207133705974344,-0.12036718872433724
z187,-0.09358317877815878,0.4303630875615563,-0.14589117784962174,-0.1454727910465164
z188,0.09993274776615954,-0.028848099411825593,-0.02692267701735991,-0.02684546814884324
z192,-0.015014061918995413,0.21811379956368057,-0.08664201004025385,-0.08639353803440894
z195,0.07067188649494886,-0.02040121634599869,-0.01903956827809087,-0.018984966593316017
z201,-0.04498290034646489,0.24718322281702557,-0.08722970549766201,-0.08697954809844895
z204,-0.06959558076520417,0.2837557145186953,-0.0930991557722453,-0.09283216596018476
z207,-0.0520351515742372,0.3183446395947167,-0.11465337474221803,-0.11432457172869323
z212,-0.0921306507686821,0.43207545740653364,-0.14718677450613638,-0.1467646721902
z217,-0.05559219481533169,0.33557334781069365,-0.12056803747005829,-0.12022227238338676
z224,0.10248628003729889,-0.029585240683888958,-0.02761061891954956,-0.02753143717085316
z225,-0.04945622282889724,0.20607261092040655,-0.06803733163387042,-0.06784221413537811
z235,-0.058565548993642386,0.23383751625081967,-0.07624577678967959,-0.07602711910748441
z237,-0.05331989277473724,0.3197617542667145,-0.11475107888959901,-0.1144219956800646
z239,-0.018915756959712298,0.21980913816997819,-0.08583224333982988,-0.08558609358339067
z244,-0.08395563001740758,0.38215028796225675,-0.12921165622562075,-0.12884110296414863
z252,-0.023244624864816186,0.22406590630264792,-0.08594165971445565,-0.08569519617367485
z36,-0.08312468413582275,0.4229707489663166,-0.14685362193880128,-0.14643247503798767
z37,-0.06959434139195156,0.3279257393770958,-0.11183689776784456,-0.11151617184859439
z43,-0.011183005594941403,0.038739067743531065,-0.012051162584679384,-0.01201660225374078
z47,-0.058535165795967126,0.2387384665571019,-0.07833670286858688,-0.07811204882738923
z58,0.058348185939056774,0.05756144985162117,-0.04728267625324315,-0.047147078967297244
z63,-0.021079966778101374,0.22087637361803053,-0.0854368921430533,-0.08519187617500187
z64,-0.05790438729708047,0.25272137108240156,-0.0845155367193817,-0.08427316301494014
z65,0.09908339390692364,-0.027165802983935304,-0.027303486802791984,-0.027225185847755302
z71,-0.042505620626604165,0.23738919255652793,-0.08404576626939667,-0.08380473977291966
z73,-0.05841221583790499,0.2564271812753163,-0.08588856844271373,-0.08564225715711232
z77,-0.06891977541134306,0.3993257465622615,-0.14238965668469183,-0.14198131154598173
z8,-0.07865742775701862,0.3569093426675136,-0.1205804435631033,-0.12023464289823105
z9,-0.05840683341122453,0.2767472771383169,-0.09451061493242964,-0.0942395773369839
