feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z8,8,in_feedforward_loop,-0.1205804435631033,1.9829921139929764e-14,0.1205804435631033,0.0,0.0,True
z9,9,in_feedforward_loop,-0.09451061493242964,2.112431196030763e-09,0.09451061493242964,0.0,0.0,True
z36,36,in_feedforward_loop,-0.14685362193880128,1.0043046514259546e-20,0.14685362193880128,0.0,0.0,True
z37,37,in_feedforward_loop,-0.11183689776784456,1.3101047326703981e-12,0.11183689776784456,0.0,0.0,True
z43,43,in_feedforward_loop,-0.012051162584679384,0.44607677823341896,0.012051162584679384,0.845,0.845,False
z47,47,in_feedforward_loop,-0.07833670286858688,7.030338915835142e-07,0.07833670286858688,0.0,0.0,True
z58,58,in_feedforward_loop,-0.04728267625324315,0.0027792229210338104,0.04728267625324315,0.002,0.0025263157894736842,True
z63,63,in_feedforward_loop,-0.0854368921430533,6.242516019201459e-08,0.0854368921430533,0.0,0.0,True
z64,64,in_feedforward_loop,-0.0845155367193817,8.644060855132103e-08,0.0845155367193817,0.0,0.0,True
z65,65,in_feedforward_loop,-0.027303486802791984,0.08423839703685683,0.027303486802791984,0.06,0.0669767441860465,False
z71,71,in_feedforward_loop,-0.08404576626939667,1.0191281253131498e-07,0.08404576626939667,0.0,0.0,True
z73,73,in_feedforward_loop,-0.08588856844271373,5.3152885399794554e-08,0.08588856844271373,0.0,0.0,True
z77,77,in_feedforward_loop,-0.14238965668469183,1.4449639855851402e-19,0.14238965668469183,0.0,0.0,True
z101,101,in_feedforward_loop,-0.08489895616923526,7.552136208675225e-08,0.08489895616923526,0.0,0.0,True
z107,107,in_feedforward_loop,-0.08553807917524878,6.02207171232923e-08,0.08553807917524878,0.0,0.0,True
z112,112,in_feedforward_loop,-0.021630833229314268,0.1713789286917252,0.021630833229314268,0.116,0.12654545454545454,False
z117,117,in_feedforward_loop,-0.12861047036768344,3.2029611343578537e-16,0.12861047036768344,0.0,0.0,True
z118,118,in_feedforward_loop,-0.08148598454917622,2.4616119569169946e-07,0.08148598454917622,0.0,0.0,True
z121,121,in_feedforward_loop,-0.0834887148636835,1.2374668850032016e-07,0.0834887148636835,0.0,0.0,True
z122,122,in_feedforward_loop,-0.08248200776874252,1.7520045449177384e-07,0.08248200776874252,0.0,0.0,True
z125,125,in_feedforward_loop,-0.11354038352807336,5.93447018503563e-13,0.11354038352807336,0.0,0.0,True
z126,126,in_feedforward_loop,0.29366813857445245,2.160321506028501e-80,0.29366813857445245,0.0,0.0,True
z129,129,in_feedforward_loop,-0.11767364862519658,8.269440618284102e-14,0.11767364862519658,0.0,0.0,True
z131,131,in_feedforward_loop,-0.08133331006913126,2.5924274842819855e-07,0.08133331006913126,0.0,0.0,True
