feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z101,0.0001093530256175701,0.19071690963502774,-0.11719198267192299,-0.087450016931921
z107,8.552532128540576e-05,0.19462886082565556,-0.11895269039473341,-0.08919369104366981
z112,-1.2170393671705193e-06,-0.0018253660086593108,-0.0017973401010604366,0.0002858135778976787
z117,-1.4850080478659281e-05,0.3059387281607082,-0.18574266415358054,-0.13983753218024636
z118,-6.395299294830424e-06,0.19364651275879396,-0.11814041629966046,-0.08855775430515131
z121,-2.7450685424763865e-05,0.18572616726778504,-0.11361046176179856,-0.08506320571615072
z122,0.00012207961319807802,0.20232929638479438,-0.1232886960372211,-0.09264522822054072
z125,0.00013809601738500737,0.2776385104390628,-0.1694005913963727,-0.12703216247861737
z126,0.00020456167935307447,-0.6972762368220417,0.42646821828106063,0.31913064217400283
z129,7.102772773950536e-05,0.2868970859014689,-0.17464040198910735,-0.13124648033690792
z131,8.090177181776723e-06,0.19396411232845917,-0.11771449323422614,-0.08863058852679763
z132,-7.621508010786839e-05,0.21119257502092617,-0.1279030225126887,-0.09645119692160092
z134,1.0154693694730196e-06,-0.001651832166211628,-0.0015415831477470128,0.0002839426648036758
z136,-6.855505858240594e-05,0.20202042718540353,-0.12242151462654532,-0.09227735393854083
z154,-7.426810958597457e-05,0.28595331789912815,-0.17307062796090084,-0.13053875428901085
z169,5.274970501106639e-05,0.20236623435278372,-0.12248971580449747,-0.09244753053581578
z173,1.2166308539382498e-05,0.19278128697288838,-0.11761191869807416,-0.08822894814941568
z178,-2.7343213114755863e-05,0.19064680517828608,-0.11590331447041308,-0.08724116460996201
z182,-0.00011414833632684973,0.27798376196087543,-0.1692651797474497,-0.1271546622114721
z187,6.151000120656249e-05,0.3616154915599028,-0.21941791016878456,-0.1652488913083232
z188,1.3873316725664109e-05,-0.002358606301778761,-0.002201184721648255,0.00038574465658062444
z192,-1.774894212841667e-05,0.18907368154052198,-0.11591288448704928,-0.08662762571992058
z195,-5.444413041049562e-06,-0.0016171825913374486,-0.0015092462058983278,0.0002825491881957541
z201,-6.815899488575063e-05,0.20783912622380205,-0.12583584973389006,-0.09493707619624057
z204,-6.192603879246524e-05,0.23456668441015777,-0.14159714821203667,-0.10710383012284933
z207,7.076946547061782e-05,0.2695290333379924,-0.16453048559420827,-0.12342092777159275
z212,-7.358727829275945e-05,0.36363320981724667,-0.22057809077748222,-0.1662663881318494
z217,-5.790149425895057e-05,0.28443808842546364,-0.17332813755488286,-0.13005358027536035
z224,5.367413226944895e-06,-0.0023962519396216516,-0.0022363177588126068,0.00039638813898933405
z225,4.673459444853433e-05,0.16973472380742083,-0.10293923644219183,-0.07757864330599554
z235,2.628807543846338e-05,0.1923071806855739,-0.1164515155222152,-0.08787540917633466
z237,4.282959923919427e-05,0.27028614997990846,-0.16525222645594706,-0.12377468085534216
z239,-2.4170455109240666e-05,0.18956002406900893,-0.11608747863384958,-0.08684249190165017
z244,-4.284149657798105e-05,0.3198069980914073,-0.19389596170422463,-0.14611804341844065
z252,2.6543890110884705e-06,0.19215858531082985,-0.11767703393809023,-0.08804038618442796
z36,-4.094708721105213e-05,0.3576205043970715,-0.21709124246072986,-0.1634472435053124
z37,3.7644095696549515e-05,0.2740666382238961,-0.1662286864422892,-0.12529174601326654
z43,-1.0614492451864813e-05,0.03139080762655321,-0.018915829521577908,-0.01431860115671911
z47,5.819133205770422e-05,0.1962851150316952,-0.11949866105101833,-0.08975144316512185
z58,3.5738990873841747e-07,0.06466997057944213,-0.04190880850168245,-0.03005781180625552
z63,-3.675983018861916e-05,0.1900861821619328,-0.11612927393441957,-0.0870101323599835
z64,0.00013100353682943267,0.20876111032856579,-0.12738272606884443,-0.09555198747793786
z65,7.380876849861356e-06,-0.001041666921055168,-0.002962751169157598,-0.00020195130188584154
z71,-6.966774929337109e-05,0.19939570745625174,-0.1211907930231311,-0.09114490006554718
z73,1.5595901731746756e-05,0.21220574919521046,-0.1290862555787834,-0.09700147656572239
z77,-1.8287333916379434e-05,0.3396741269239203,-0.20638465086029117,-0.15531484737503254
z8,1.1731965403137708e-05,0.2983895635931626,-0.18046818938646245,-0.13630162088760273
z9,-7.943274215390685e-06,0.23065832388566748,-0.1400000374443316,-0.10544784231152327
