feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z101,-0.0251090836451485,0.22333021486673693,-0.08489895566515633,-0.08465548239164322
z107,-0.029022923037749143,0.22845229663775124,-0.08553808019514625,-0.08529277403994122
z112,0.08018285812297521,-0.023078589282253648,-0.02163083405510333,-0.021568801136854176
z117,-0.062167948504038846,0.36060649326702454,-0.12861047076720877,-0.12824164158573742
z118,-0.042414942871263225,0.23127116237003703,-0.0814859854483895,-0.08125229989281202
z121,-0.02082805531003002,0.2160511581060419,-0.08348871504629737,-0.08324928606163595
z122,-0.053936815520211435,0.24426257201349122,-0.08248200754852997,-0.08224546560020521
z125,-0.07058275364184985,0.332854483802812,-0.11354038290848537,-0.11321477173357655
z126,0.04617302405840826,-0.7349275382973506,0.2936681386527945,0.2928259569971532
z129,-0.07082577291575574,0.3428224762741338,-0.11767364917082822,-0.1173361846125732
z131,-0.04284237408481121,0.23130609757818132,-0.08133330941765225,-0.08110006170648289
z132,-0.053452869560434595,0.2534477963428869,-0.0865680907261023,-0.08631983070610877
z134,0.07135265598893539,-0.020597737571303305,-0.01922297299395797,-0.019167845341034273
z136,-0.04966745683634524,0.2421772739665067,-0.08327042544796276,-0.08303162247433601
z154,-0.0793184094051449,0.34355571448180466,-0.11465671787165156,-0.11432790527069822
z169,-0.060834130222597635,0.24568456785110776,-0.08038240495804119,-0.08015188425122383
z173,-0.032230960501070244,0.22722756914749337,-0.08376142042150637,-0.08352120937221429
z178,-0.03788728775918648,0.22627250119071377,-0.08113975044087057,-0.0809070578182453
z182,-0.043161408073103036,0.3244328754940048,-0.12071336952046244,-0.12036718765045382
z187,-0.09358317754986492,0.43036308482334773,-0.14589117716937988,-0.1454727903682253
z188,0.09993274750572897,-0.028848099336645765,-0.026922676947197837,-0.02684546807888239
z192,-0.015014061163491178,0.21811379880791715,-0.0866420100157098,-0.08639353800993534
z195,0.07067188387974964,-0.02040121559105572,-0.019039567573535403,-0.01898496589078108
z201,-0.044982899063484634,0.24718322140829588,-0.08722970540282475,-0.0869795480038837
z204,-0.06959557984588502,0.28375571199190297,-0.09309915506061103,-0.09283216525059136
z207,-0.05203515114138102,0.3183446390820049,-0.11465337469434356,-0.11432457168095604
z212,-0.0921306508628498,0.43207545657096863,-0.14718677411478231,-0.14676467179996824
z217,-0.05559219461612143,0.3355733451257732,-0.12056803640915854,-0.12022227132552946
z224,0.10248628519559402,-0.029585242172960477,-0.027610620309235286,-0.027531438556553548
z225,-0.0494562222911626,0.20607261189846232,-0.06803733225948899,-0.06784221475920252
z235,-0.058565549470732545,0.2338375169745559,-0.07624577690973844,-0.07602711922719899
z237,-0.053319892806795624,0.31976175363437637,-0.11475107860879386,-0.11442199540006467
z239,-0.01891575681040276,0.21980913704930222,-0.08583224292294006,-0.08558609316769639
z244,-0.08395562948945023,0.38215028413225627,-0.12921165480779437,-0.1288411015503883
z252,-0.02324462499394688,0.2240659017542517,-0.08594165773438986,-0.08569519419928749
z36,-0.0831246845678685,0.42297074699109616,-0.14685362093159385,-0.14643247403366869
z37,-0.06959433948770302,0.32792573115800205,-0.1118368950274537,-0.11151616911606244
z43,-0.011183005729381643,0.038739068209245706,-0.01205116272955646,-0.01201660239820238
z47,-0.05853516626240696,0.2387384666266619,-0.07833670271531279,-0.07811204867455471
z58,0.05834818489012304,0.05756144088501622,-0.04728267203850038,-0.04714707476464153
z63,-0.02107996741477454,0.22087637572471222,-0.08543689278723289,-0.08519187681733405
z64,-0.05790438706395499,0.25272137287356733,-0.08451553757056167,-0.08427316386367908
z65,0.09908339020813947,-0.02716580150623138,-0.027303485980216913,-0.027225185027539234
z71,-0.04250562044396315,0.23738919205996944,-0.08404576613032362,-0.08380473963424549
z73,-0.0584122149456466,0.25642718017913263,-0.08588856832735026,-0.08564225704207969
z77,-0.06891977586363172,0.39932574841801305,-0.14238965729467895,-0.1419813121542196
z8,-0.07865742754959602,0.3569093419637248,-0.12058044334583268,-0.12023464268158349
z9,-0.058406834510233215,0.276747276859715,-0.09451061438358027,-0.0942395767897086
