variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
jumprelu,in_feedback_loop,345,4000,0,25,8,0.32,0.45588235294117646,0.3639705882352941,0.31542221055088704,0.2886111111111111
jumprelu,in_feedback_loop,345,4001,1,29,10,0.3448275862068966,0.6263157894736842,0.5973684210526315,0.4891639071283034,0.5115804597701149
jumprelu,in_feedback_loop,345,4002,2,31,18,0.5806451612903226,0.5512820512820513,0.5299145299145299,0.6044558639413263,0.5824170602396409
jumprelu,in_feedback_loop,345,4003,3,26,10,0.38461538461538464,0.44375,0.5,0.3595773670773671,0.38461538461538464
jumprelu,in_feedback_loop,345,4004,4,19,2,0.10526315789473684,0.8235294117647058,0.17647058823529416,0.3333333333333333,0.08834586466165413
jumprelu,in_feedback_loop,345,4005,5,28,10,0.35714285714285715,0.5277777777777779,0.5777777777777778,0.4715088642294525,0.4806926406926407
jumprelu,in_feedback_loop,345,4006,6,24,4,0.16666666666666666,0.75,0.5,0.32916666666666666,0.16666666666666666
jumprelu,in_feedback_loop,345,4007,7,22,6,0.2727272727272727,0.5416666666666666,0.5208333333333334,0.3432643745143745,0.2949346405228758
jumprelu,in_feedback_loop,345,4008,8,21,2,0.09523809523809523,0.7631578947368421,0.5,0.35,0.09523809523809523
jumprelu,in_feedback_loop,345,4009,9,24,2,0.08333333333333333,0.36363636363636365,0.6022727272727273,0.09761904761904762,0.14166666666666666
jumprelu,in_feedback_loop,345,4010,10,26,12,0.46153846153846156,0.24404761904761904,0.5,0.36263564973897794,0.46153846153846156
jumprelu,in_feedback_loop,345,4011,11,28,14,0.5,0.6020408163265306,0.760204081632653,0.5607385740857608,0.8009726617919894
jumprelu,in_feedback_loop,345,4012,12,22,8,0.36363636363636365,0.7410714285714286,0.5,0.5894501332001332,0.36363636363636365
jumprelu,in_feedback_loop,345,4013,13,30,12,0.4,0.7175925925925926,0.44907407407407407,0.66432267351385,0.43561507936507937
