,feature,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,variant,latent_dim,k,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert,p_empirical,p_fdr,significant_fdr
0,z6,in_feedforward_loop,-0.015731011422351095,0.3198981980068926,0.015731011422351095,-0.06353225272555567,5.7966622476302234e-05,0.06353225272555567,topk,128.0,4.0,,,,,,,0.3198981980068926,0.3198981980068926,False
1,z11,in_feedforward_loop,-0.0347527779625936,0.02795369576070087,0.0347527779625936,-0.09319022034126961,3.5290794363560402e-09,0.09319022034126961,topk,128.0,4.0,,,,,,,0.02795369576070087,0.02795369576070087,True
2,z12,in_feedforward_loop,-0.028077999592272626,0.07579826883524608,0.028077999592272626,-0.0696962527317552,1.0243622707254154e-05,0.0696962527317552,topk,128.0,4.0,,,,,,,0.07579826883524608,0.07579826883524608,False
3,z16,in_feedforward_loop,-0.0334850316134719,0.03419952752736916,0.0334850316134719,-0.06863424657242578,1.3954377888474514e-05,0.06863424657242578,topk,128.0,4.0,,,,,,,0.03419952752736916,0.03419952752736916,True
4,z17,in_feedforward_loop,-0.02078531480342935,0.1887419557896708,0.02078531480342935,-0.05722604815205259,0.00029331973255367625,0.05722604815205259,topk,128.0,4.0,,,,,,,0.1887419557896708,0.1887419557896708,False
5,z49,in_feedforward_loop,-0.015416805421607727,0.32966068297096196,0.015416805421607727,-0.06350654999146799,5.836908799031237e-05,0.06350654999146799,topk,128.0,4.0,,,,,,,0.32966068297096196,0.32966068297096196,False
6,z53,in_feedforward_loop,-0.02727918066195637,0.08451510190027942,0.02727918066195637,-0.06951791995007417,1.0792730639894043e-05,0.06951791995007417,topk,128.0,4.0,,,,,,,0.08451510190027942,0.08451510190027942,False
7,z62,in_feedforward_loop,-0.015584036555485854,0.32444098758548573,0.015584036555485854,-0.0634953565396835,5.854518595721876e-05,0.0634953565396835,topk,128.0,4.0,,,,,,,0.32444098758548573,0.32444098758548573,False
8,z75,in_feedforward_loop,-0.02302115349760708,0.14546908880261342,0.02302115349760708,-0.06160305450940311,9.674865975455045e-05,0.06160305450940311,topk,128.0,4.0,,,,,,,0.14546908880261342,0.14546908880261342,False
9,z79,in_feedforward_loop,-0.014776886934682657,0.3501330226715684,0.014776886934682657,-0.049420421203918444,0.001768671530487172,0.049420421203918444,topk,128.0,4.0,,,,,,,0.3501330226715684,0.3501330226715684,False
10,z110,in_feedforward_loop,-0.03434979122091657,0.02982297255212162,0.03434979122091657,-0.0934630274596498,3.1758576621160547e-09,0.0934630274596498,topk,128.0,4.0,,,,,,,0.02982297255212162,0.02982297255212162,True
11,z113,in_feedforward_loop,-0.03221306728509879,0.041627482484156576,0.03221306728509879,-0.06753078707453229,1.9150898894710803e-05,0.06753078707453229,topk,128.0,4.0,,,,,,,0.041627482484156576,0.041627482484156576,True
12,z114,in_feedforward_loop,0.06780119307506362,1.772922461132621e-05,0.06780119307506362,0.22495979830850332,4.587321003272751e-47,0.22495979830850332,topk,128.0,4.0,,,,,,,1.772922461132621e-05,1.772922461132621e-05,True
13,z115,in_feedforward_loop,-0.010851179694605907,0.4926534784474784,0.010851179694605907,-0.04642594773922981,0.0033151034575131457,0.04642594773922981,topk,128.0,4.0,,,,,,,0.4926534784474784,0.4926534784474784,False
14,z124,in_feedforward_loop,-0.03368232135189339,0.03315546531086672,0.03368232135189339,-0.06868791147163678,1.3739533878739941e-05,0.06868791147163678,topk,128.0,4.0,,,,,,,0.03315546531086672,0.03315546531086672,True
