feature,feature_idx,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,p_empirical,p_fdr,significant_fdr
z8,8,in_feedforward_loop,-0.12058044334583268,1.9829923282194605e-14,0.12058044334583268,-0.18046818938646245,1.2474166852936576e-30,0.18046818938646245,0.0,0.0,True
z9,9,in_feedforward_loop,-0.09451061438358027,2.112431649725339e-09,0.09451061438358027,-0.1400000374443316,5.818152535642058e-19,0.1400000374443316,0.0,0.0,True
z36,36,in_feedforward_loop,-0.14685362093159385,1.0043052651511898e-20,0.14685362093159385,-0.21709124246072986,7.107614664709323e-44,0.21709124246072986,0.0,0.0,True
z37,37,in_feedforward_loop,-0.1118368950274537,1.3101063891971096e-12,0.1118368950274537,-0.1662286864422892,3.548559535035005e-26,0.1662286864422892,0.0,0.0,True
z43,43,in_feedforward_loop,-0.01205116272955646,0.4460767727657052,0.01205116272955646,-0.018915829521577908,0.2316672158341641,0.018915829521577908,0.042,0.06009756097560976,False
z47,47,in_feedforward_loop,-0.07833670271531279,7.030339268214661e-07,0.07833670271531279,-0.11949866105101833,3.387483825472232e-14,0.11949866105101833,0.0,0.0,True
z58,58,in_feedforward_loop,-0.04728267203850038,0.0027792253505146748,0.04728267203850038,-0.04190880850168245,0.00802818956495032,0.04190880850168245,0.006,0.008655737704918032,True
z63,63,in_feedforward_loop,-0.08543689278723289,6.242514591232627e-08,0.08543689278723289,-0.11612927393441957,1.741151738734518e-13,0.11612927393441957,0.0,0.0,True
z64,64,in_feedforward_loop,-0.08451553757056167,8.644058269332626e-08,0.08451553757056167,-0.12738272606884443,6.123499531384171e-16,0.12738272606884443,0.0,0.0,True
z65,65,in_feedforward_loop,-0.027303485980216913,0.08423840638876277,0.027303485980216913,-0.002962751169157598,0.8514076394158301,0.002962751169157598,0.863,0.999,False
z71,71,in_feedforward_loop,-0.08404576613032362,1.0191281748603411e-07,0.08404576613032362,-0.1211907930231311,1.4628121244599265e-14,0.1211907930231311,0.0,0.0,True
z73,73,in_feedforward_loop,-0.08588856832735026,5.31528875882438e-08,0.08588856832735026,-0.1290862555787834,2.4874428103830897e-16,0.1290862555787834,0.0,0.0,True
z77,77,in_feedforward_loop,-0.14238965729467895,1.4449634673922278e-19,0.14238965729467895,-0.20638465086029117,9.874944513447314e-40,0.20638465086029117,0.0,0.0,True
z101,101,in_feedforward_loop,-0.08489895566515633,7.552137552369371e-08,0.08489895566515633,-0.11719198267192299,1.0441979810132669e-13,0.11719198267192299,0.0,0.0,True
z107,107,in_feedforward_loop,-0.08553808019514625,6.022069528866459e-08,0.08553808019514625,-0.11895269039473341,4.4305132467948757e-14,0.11895269039473341,0.0,0.0,True
z112,112,in_feedforward_loop,-0.02163083405510333,0.17137891233832292,0.02163083405510333,-0.0017973401010604366,0.9095244991399164,0.0017973401010604366,0.919,0.999,False
z117,117,in_feedforward_loop,-0.12861047076720877,3.2029604556380823e-16,0.12861047076720877,-0.18574266415358054,2.231482176357497e-32,0.18574266415358054,0.0,0.0,True
z118,118,in_feedforward_loop,-0.0814859854483895,2.461611205553898e-07,0.0814859854483895,-0.11814041629966046,6.590350652338582e-14,0.11814041629966046,0.0,0.0,True
z121,121,in_feedforward_loop,-0.08348871504629737,1.2374668065046805e-07,0.08348871504629737,-0.11361046176179856,5.742795236180649e-13,0.11361046176179856,0.0,0.0,True
z122,122,in_feedforward_loop,-0.08248200754852997,1.7520046773999713e-07,0.08248200754852997,-0.1232886960372211,5.080886605098473e-15,0.1232886960372211,0.0,0.0,True
z125,125,in_feedforward_loop,-0.11354038290848537,5.934471907151152e-13,0.11354038290848537,-0.1694005913963727,3.8991930564001275e-27,0.1694005913963727,0.0,0.0,True
z126,126,in_feedforward_loop,0.2936681386527945,2.1603212879946998e-80,0.2936681386527945,0.42646821828106063,1.573896231043455e-176,0.42646821828106063,0.0,0.0,True
z129,129,in_feedforward_loop,-0.11767364917082822,8.269438428665275e-14,0.11767364917082822,-0.17464040198910735,9.229839951331192e-29,0.17464040198910735,0.0,0.0,True
z131,131,in_feedforward_loop,-0.08133330941765225,2.592428056552943e-07,0.08133330941765225,-0.11771449323422614,8.10711722975173e-14,0.11771449323422614,0.0,0.0,True
z132,132,in_feedforward_loop,-0.0865680907261023,4.166811438609784e-08,0.0865680907261023,-0.1279030225126887,4.65648463013206e-16,0.1279030225126887,0.0,0.0,True
z134,134,in_feedforward_loop,-0.01922297299395797,0.22417549362020542,0.01922297299395797,-0.0015415831477470128,0.9223548532635216,0.0015415831477470128,0.954,0.999,False
z136,136,in_feedforward_loop,-0.08327042544796276,1.3348242346821933e-07,0.08327042544796276,-0.12242151462654532,7.883662845104105e-15,0.12242151462654532,0.0,0.0,True
z154,154,in_feedforward_loop,-0.11465671787165156,3.509197331197889e-13,0.11465671787165156,-0.17307062796090084,2.8687031293732896e-28,0.17307062796090084,0.0,0.0,True
z169,169,in_feedforward_loop,-0.08038240495804119,3.571595925437593e-07,0.08038240495804119,-0.12248971580449747,7.616788353407892e-15,0.12248971580449747,0.0,0.0,True
z173,173,in_feedforward_loop,-0.08376142042150637,1.1254566399211199e-07,0.08376142042150637,-0.11761191869807416,8.520843937232929e-14,0.11761191869807416,0.0,0.0,True
z178,178,in_feedforward_loop,-0.08113975044087057,2.767948308287168e-07,0.08113975044087057,-0.11590331447041308,1.939956199748313e-13,0.11590331447041308,0.0,0.0,True
z182,182,in_feedforward_loop,-0.12071336952046244,1.8560984890672324e-14,0.12071336952046244,-0.1692651797474497,4.2884905567613194e-27,0.1692651797474497,0.0,0.0,True
