feature,motif,rpb_partial,precision,recall,threshold,f1_score,rpb
z126,in_feedforward_loop,0.42646821828106063,0.0,0.0,0.00012081011664122343,0.0,0.2936681386527945
z212,in_feedforward_loop,-0.22057809077748222,0.0,0.0,0.04681758712977149,0.0,-0.14718677411478231
z187,in_feedforward_loop,-0.21941791016878456,0.0,0.0,0.032577233016490806,0.0,-0.14589117716937988
z36,in_feedforward_loop,-0.21709124246072986,0.0,0.0,0.04483670275658366,0.0,-0.14685362093159385
z77,in_feedforward_loop,-0.20638465086029117,0.0,0.0,0.04214553702622652,0.0,-0.14238965729467895
z244,in_feedforward_loop,-0.19389596170422463,0.0,0.0,0.033108089864253926,0.0,-0.12921165480779437
z117,in_feedforward_loop,-0.18574266415358054,0.0,0.0,0.022973552066832773,0.0,-0.12861047076720877
z8,in_feedforward_loop,-0.18046818938646245,0.0,0.0,0.022502682451158613,0.0,-0.12058044334583268
z129,in_feedforward_loop,-0.17464040198910735,0.0,0.0,0.019729999173432572,0.0,-0.11767364917082822
z217,in_feedforward_loop,-0.17332813755488286,0.0,0.0,0.026721050031482955,0.0,-0.12056803640915854
z126,in_feedback_loop,-0.6972762368220417,0.0,0.0,0.00012081011664122343,0.0,-0.7349275382973506
z212,in_feedback_loop,0.36363320981724667,0.945,0.189,0.04681758712977149,0.315,0.43207545657096863
z187,in_feedback_loop,0.3616154915599028,0.95,0.19,0.032577233016490806,0.3166666666666667,0.43036308482334773
z36,in_feedback_loop,0.3576205043970715,0.935,0.187,0.04483670275658366,0.31166666666666665,0.42297074699109616
z77,in_feedback_loop,0.3396741269239203,0.905,0.181,0.04214553702622652,0.30166666666666664,0.39932574841801305
z244,in_feedback_loop,0.3198069980914073,0.93,0.186,0.033108089864253926,0.30999999999999994,0.38215028413225627
z117,in_feedback_loop,0.3059387281607082,0.885,0.177,0.022973552066832773,0.295,0.36060649326702454
z8,in_feedback_loop,0.2983895635931626,0.935,0.187,0.022502682451158613,0.31166666666666665,0.3569093419637248
z129,in_feedback_loop,0.2868970859014689,0.915,0.183,0.019729999173432572,0.305,0.3428224762741338
z154,in_feedback_loop,0.28595331789912815,0.935,0.187,0.017448255326598872,0.31166666666666665,0.34355571448180466
z126,in_single_input_module,0.31913064217400283,0.0,0.0,0.00012081011664122343,0.0,0.2928259569971532
z212,in_single_input_module,-0.1662663881318494,0.0,0.0,0.04681758712977149,0.0,-0.14676467179996824
z187,in_single_input_module,-0.1652488913083232,0.0,0.0,0.032577233016490806,0.0,-0.1454727903682253
z36,in_single_input_module,-0.1634472435053124,0.0,0.0,0.04483670275658366,0.0,-0.14643247403366869
z77,in_single_input_module,-0.15531484737503254,0.0,0.0,0.04214553702622652,0.0,-0.1419813121542196
z244,in_single_input_module,-0.14611804341844065,0.0,0.0,0.033108089864253926,0.0,-0.1288411015503883
z117,in_single_input_module,-0.13983753218024636,0.0,0.0,0.022973552066832773,0.0,-0.12824164158573742
z8,in_single_input_module,-0.13630162088760273,0.0,0.0,0.022502682451158613,0.0,-0.12023464268158349
z129,in_single_input_module,-0.13124648033690792,0.0,0.0,0.019729999173432572,0.0,-0.1173361846125732
z154,in_single_input_module,-0.13053875428901085,0.0,0.0,0.017448255326598872,0.0,-0.11432790527069822
z126,in_cascade,0.00020456167935307447,0.0,0.0,0.00012081011664122343,0.0,0.04617302405840826
z125,in_cascade,0.00013809601738500737,0.085,0.02125,0.01955239027738571,0.034,-0.07058275364184985
z64,in_cascade,0.00013100353682943267,0.1,0.025,0.0007685250078793503,0.04000000000000001,-0.05790438706395499
z122,in_cascade,0.00012207961319807802,0.165,0.04125,0.0008136639778967844,0.066,-0.053936815520211435
z182,in_cascade,-0.00011414833632684973,0.12,0.03,0.0245503537356853,0.048,-0.043161408073103036
z101,in_cascade,0.0001093530256175701,0.25,0.0625,0.003014612500555804,0.1,-0.0251090836451485
z107,in_cascade,8.552532128540576e-05,0.21,0.0525,0.0023034275509416866,0.08399999999999998,-0.029022923037749143
z132,in_cascade,-7.621508010786839e-05,0.15,0.0375,0.003211675223428735,0.06,-0.053452869560434595
z154,in_cascade,-7.426810958597457e-05,0.065,0.01625,0.017448255326598872,0.026000000000000002,-0.0793184094051449
z212,in_cascade,-7.358727829275945e-05,0.055,0.01375,0.04681758712977149,0.022,-0.0921306508628498
