latent_dim,k,sparsity_pct,n_features_tested,n_active_features,dead_feature_rate,max_rpb_abs,max_rpb_feature,max_rpb_motif,best_f1,best_f1_feature,best_f1_motif,best_precision,best_recall,composite_score,variant,description,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert
512,,12.5,28,28,0.9453125,0.5437427661097483,z163,in_feedback_loop,0.21000000000000002,z132,in_feedback_loop,0.63,0.126,0.581703125,switch,"8 experts, 64D per expert, k=8",,,,8.0,64.0,8.0
256,8.0,3.125,27,27,0.89453125,0.5424178004462772,z52,in_feedback_loop,0.21333333333333335,z61,in_feedback_loop,0.64,0.128,0.5904869791666667,topk,"Medium capacity, high sparsity",,,,,,
256,16.0,6.25,54,54,0.7890625,0.5409720965152646,z30,in_feedback_loop,0.21000000000000002,z61,in_feedback_loop,0.63,0.126,0.605140625,topk,"Medium capacity, moderate sparsity",,,,,,
256,32.0,12.5,84,84,0.671875,0.5408183597814901,z210,in_feedback_loop,0.21333333333333335,z246,in_feedback_loop,0.64,0.128,0.6238854166666666,topk,"Medium capacity, low sparsity",,,,,,
512,32.0,6.25,92,92,0.8203125,0.5383118361779947,z292,in_feedback_loop,0.21833333333333335,z454,in_feedback_loop,0.655,0.131,0.6033697916666667,topk,"High capacity, low sparsity",,,,,,
256,4.0,1.5625,14,14,0.9453125,0.5380629434844331,z73,in_feedback_loop,0.2116666666666667,z36,in_feedback_loop,0.635,0.127,0.5822864583333333,topk,"Medium capacity, very low sparsity",,,,,,
512,16.0,3.125,49,49,0.904296875,0.537782318530236,z38,in_feedback_loop,0.215,z148,in_feedback_loop,0.645,0.129,0.5896054687500001,topk,"High capacity, moderate sparsity",,,,,,
512,8.0,1.5625,25,25,0.951171875,0.533846499074218,z18,in_feedback_loop,0.21666666666666667,z61,in_feedback_loop,0.65,0.13,0.5831575520833333,topk,"High capacity, high sparsity",,,,,,
128,4.0,3.125,15,15,0.8828125,0.5213870990461154,z114,in_feedback_loop,0.2116666666666667,z110,in_feedback_loop,0.635,0.127,0.5916614583333333,topk,"Low capacity, low sparsity",,,,,,
1024,,12.5,64,64,0.9375,0.4731801519611684,z306,in_feedback_loop,0.21000000000000002,z269,in_feedback_loop,0.63,0.126,0.5560551519611684,switch,"8 experts, 128D per expert, k=16",,,,8.0,128.0,16.0
512,,,442,439,0.142578125,0.42361154804362866,z345,in_feedback_loop,0.22,z501,in_feedback_loop,0.66,0.132,0.6292248292936287,jumprelu,"High capacity, low threshold",,0.01,0.01,,,
256,,12.5,30,30,0.8828125,0.39749088515749376,z180,in_feedback_loop,0.2116666666666667,z168,in_feedback_loop,0.635,0.127,0.4891523434908271,switch,"4 experts, 64D per expert, k=8",,,,4.0,64.0,8.0
512,,12.5,46,46,0.91015625,0.36916358285422,z299,in_feedback_loop,0.21333333333333335,z367,in_feedback_loop,0.64,0.128,0.4573068120208867,switch,"4 experts, 128D per expert, k=16",,,,4.0,128.0,16.0
