variant,config_name,test_mse,val_mse,test_l0_sparsity,val_l0_sparsity,dead_feature_rate,best_epoch_x,max_rpb,n_significant_features,best_f1,n_active_features,training_time,best_epoch_y,total_epochs,convergence_speed
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,256,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,128,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.015625,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,512,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,256,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
topk,unknown,,,0.062499046325683594,,,,,,,128,,,,
