,feedforward_loop,feedback_loop,single_input_module,cascade,degree,in_degree,out_degree,degree_ratio,betweenness_centrality,in_closeness_centrality,out_closeness_centrality,pagerank,clustering_coefficient
node_0,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05202979337529498,0.5
node_1,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.3481429264559739,0.5
node_2,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.09606171459573538,0.5
node_3,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05202979337529498,0.5
node_4,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,-0.006266120172468352,0.5
node_5,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.1492249991833956,0.5
node_6,1,0,0,0,2,2,0,,0.0,0.0,0.2222222222222222,0.13832598825407072,0.5
node_7,1,0,0,0,2,1,1,1.0,0.0,0.1111111111111111,0.1111111111111111,0.06639131818211326,0.5
node_8,1,0,0,0,2,0,2,0.0,0.0,0.2222222222222222,0.0,0.05202979337529498,0.5
node_9,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.05202979337529498,0.0
